RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
158,Josh Richardson,San,G,29.6,42,23.7,20.6,13.4,60,0.883,199,0.518,207,0.357,0.527,0.556,11.5,2.8,3.3,1,0.3,1.5,14.3,14.7,17.5,8,110.7,116.8
159,Marcus Smart,Bos,G,29.1,61,32.1,17.8,19.2,118,0.746,260,0.519,342,0.336,0.511,0.538,11.5,3.1,6.3,1.5,0.4,2.3,14.7,17.8,20.9,7.6,110.7,105.8
160,Bruce Brown,Den,G-F,26.6,79,28.5,17.7,14.5,148,0.764,471,0.548,253,0.36,0.545,0.572,11.4,4.1,3.3,1.1,0.6,1.6,15.5,14.7,18.8,7.5,113,109.1
161,Kyle Lowry,Mia,G,37,54,31.6,16.8,17.4,135,0.859,175,0.509,309,0.346,0.515,0.566,11.4,4.1,5.1,1.1,0.4,1.9,15.5,16.5,20.7,7.8,115,107.6
162,John Wall,Lac,G,32.6,34,22.2,27.1,19.1,113,0.681,229,0.459,109,0.303,0.457,0.498,11.4,2.7,5.2,0.8,0.4,2.4,14.1,16.6,19.3,9.8,102.2,109.9
163,Luke Kennard,Mem,G,26.8,24,24.6,13.8,8.5,19,0.947,34,0.471,137,0.54,0.743,0.758,11.3,3.1,2.3,0.5,0,0.7,14.5,13.6,16.7,7,145.5,110.6
164,Isaiah Stewart,Det,F-C,21.9,50,28.3,17.3,13.4,149,0.738,236,0.542,205,0.327,0.518,0.56,11.3,8.1,1.4,0.4,0.7,1.4,19.4,12.7,20.8,7.1,113.7,111
165,Marcus Morris Sr.,Lac,F,33.6,65,28.1,17.7,8,87,0.782,336,0.482,307,0.365,0.513,0.534,11.2,4,1.8,0.6,0.3,0.9,15.2,13,16.9,6.1,108.2,110.5
166,Quentin Grimes,Nyk,G,22.9,70,29.8,14.4,10.6,97,0.794,192,0.635,397,0.383,0.594,0.615,11.1,3.3,2.1,0.7,0.4,1,14.4,13.2,16.5,5.7,123.5,110.4
167,Malik Beasley,Lal,G,26.4,25,23.8,21,10.4,17,0.647,80,0.475,178,0.354,0.514,0.52,11,3.2,1.1,0.8,0,1.2,14.3,12.2,15.4,5.7,97.5,111.1
168,Corey Kispert,Was,F,24.1,73,28.5,14.1,8.8,87,0.851,200,0.635,378,0.418,0.63,0.651,11,2.8,1.2,0.4,0.1,0.8,13.8,12.2,15,4.7,123.3,116.6
169,Cam Reddish,Por,F-G,23.6,20,27.6,17.9,15.4,42,0.833,88,0.568,88,0.318,0.523,0.563,11,2.9,1.9,1.2,0.3,1.6,13.8,12.8,15.7,5.7,105.9,114.4
170,Jeremy Sochan,San,F,19.9,56,26,19.9,14.9,116,0.698,418,0.519,134,0.246,0.483,0.509,11,5.3,2.5,0.8,0.4,1.7,16.2,13.5,18.8,8.1,102.7,113.5
171,Bones Hyland,Lac,G,22.6,12,18.8,26.3,10.1,18,0.722,52,0.442,63,0.381,0.513,0.533,10.9,3.2,3.5,0.8,0.2,1.1,14.1,14.4,17.6,10.6,114.1,103.7
172,Reggie Jackson,Lac,G,33,52,25.7,20.8,15.8,66,0.924,292,0.469,220,0.35,0.493,0.523,10.9,2.2,3.5,0.7,0.1,1.8,13.1,14.4,16.6,6.8,103.2,112.3
173,Jaylen Nowell,Min,G,23.7,65,19.3,25,9.4,99,0.778,393,0.542,231,0.29,0.502,0.527,10.8,2.6,2,0.6,0.1,1,13.4,12.9,15.5,7.9,106.2,110.4
174,Kentavious Caldwell-Pope,Den,G,30.1,75,31.4,14.1,12.1,124,0.823,309,0.505,311,0.415,0.564,0.594,10.7,2.8,2.4,1.5,0.4,1.1,13.5,13.1,15.9,5.3,116.1,112.2
175,Mike Conley,Uta,G,35.5,43,29.7,16.1,16.5,96,0.813,162,0.469,213,0.362,0.511,0.552,10.7,2.5,7.7,1,0.2,1.7,13.2,18.4,20.9,8,123,113.9
176,Talen Horton-Tucker,Uta,G,22.4,65,20.2,25.9,17,168,0.75,410,0.485,203,0.286,0.467,0.508,10.7,3.2,3.8,0.6,0.4,1.9,14,14.5,17.8,10,104.2,111.4
177,Ivica Zubac,Lac,C,26.1,74,28.7,14.8,18.9,236,0.695,497,0.634,2,0,0.631,0.659,10.7,10,1,0.4,1.3,1.6,20.7,11.8,21.7,6.6,126.4,104.9
178,Jalen McDaniels,Cha,F-C,25.2,56,26.7,17.4,13.8,104,0.846,292,0.534,202,0.322,0.513,0.551,10.6,4.8,2,1.2,0.5,1.4,15.4,12.6,17.4,7,106.4,107
179,Victor Oladipo,Mia,G,30.9,41,26.4,20.8,17.1,79,0.747,187,0.471,204,0.319,0.474,0.505,10.5,3.1,3.4,1.3,0.3,2,13.6,13.9,16.9,7.3,98.4,105.9
